plz,lat,lon,ort
45894,51.579,7.0579,Gelsenkirchen
46282,51.6566,6.9657,Dorsten
46509,51.6588,6.453,Xanten
47163,51.50495,6.7631499999999996,St. Johannes-Hospital
47447,51.45,6.65,Moers
47665,51.6074,6.3792,Sonsbeck
48079,51.96,7.631,Münster
48141,51.9671,7.6348,Landesbetrieb NRW Straßenbau NL Münster
48324,51.8559,7.7884,Sendenhorst
48522,52.43292,7.0665,Landkreis Grafschaft Bentheim
48727,51.9783,7.2926,Billerbeck
49191,52.3,8.1333,Belm
49447,52.4415,8.3363,ZF Lemförder GmbH
49586,52.450199999999995,7.8361,Neuenkirchen
49733,52.7886,7.1841,Haren
49847,52.5062,6.8035,Itterbeck
50412,50.947,6.9465,Generali Deutschland Versicherung AG
50583,50.947,6.9498,ENVIVAS Krankenversicherung AG
50662,50.93280000000001,6.957,Finanzamt Köln-Mitte
50769,51.0458,6.876,Köln
50963,50.90575,6.961875,Spies Hecker GmbH
51141,50.9136,7.0675,Kaufhof Warenhaus AG ZAL/DL Porz
51379,51.0665,7.004,Leverkusen
51641,51.023716666666665,7.5676,Finanzamt Gummersbach
52060,50.76761666666667,6.1495,Technische Schule Landsysteme Donnerberg Kaserne
52223,50.7318,6.2104,Stolberg (Rheinland)
52475,50.8758875,6.1758750000000004,Vitenson GmbH
53113,50.7231,7.1068,Bonn
53241,50.7191,7.117,Postbank eine Niederlassung der Deutsche Bank AG
53347,50.7333,7.0167,Alfter
53560,50.6167,7.35,Vettelschoß
53839,50.814683333333335,7.145716666666666,Reifenhäuser GmbH & Co.KG Maschinenfabrik
54287,49.760266666666666,6.650366666666667,"Deutsche Post AG SNL IT-Systeme EXPRESS AE Marketing, Vertrieb EXPRESS"
54341,49.7667,6.7833,Fell
54470,49.9224,7.0522,Bernkastel-Kues
54558,50.12224,6.917440000000001,Mückeln
54636,49.98194615384615,6.482458974358974,Altscheid
55124,50.0025,8.2148,Mainz
55270,49.91461111111111,8.145122222222222,Ober-Olm
55450,49.9,7.9,Langenlonsheim
55569,49.816050000000004,7.59405,Langenthal
55758,49.77461515151515,7.320312121212122,Sulzbach
56068,50.3567,7.5932,Koblenz
56218,50.3851,7.4989,Mülheim-Kärlich
56321,50.2769,7.62195,Rhens
56412,50.40653,7.868689999999999,Girod
56581,50.51036666666666,7.472166666666666,Kurtscheid
56727,50.33156666666667,7.190933333333334,Reudelsterz
56841,49.9508,7.1156,Traben-Trarbach
57258,50.8974,7.8741,Freudenberg
57562,50.777,7.9537,Herdorf
57641,50.623,7.5169,Oberlahr
58147,51.39265,7.494433333333333,Deutsche Post AG Niederlassung Hagen (Paket)
58511,51.2169,7.6457,Lüdenscheid
58809,51.2828,7.7825,Neuenrade
